V_TRI_SUBMISSION_NAICS.INDUSTRY_CODE,V_TRI_SUBMISSION_NAICS.INDUSTRY_DESCRIPTION,V_TRI_SUBMISSION_NAICS.NAICS_CODES,TRI_FACILITY.TRI_FACILITY_ID,TRI_FACILITY.STATE_ABBR,V_TRI_FORM_R_BR_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.STATE_ABBR,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.INDUSTRY_CODE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.UNINJ_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.PRIMARY_NAICS_CODE
325,Chemicals,325510,45012SNCHM3922B,OH,45012SNCHM3922B,2015,OH,8,325,0,941,949,8,0,0,325510
325,Chemicals,325320,46383KPPRS2852R,IN,46383KPPRS2852R,2015,IN,2,325,0,0,2,2,0,0,325320
331,Primary Metals,331420,46506CPPRF515CP,IN,46506CPPRF515CP,2015,IN,0,331,0,.2,.2,0,0,0,331420
331,Primary Metals,331529,48823SPRRB4893D,MI,48823SPRRB4893D,2015,MI,462,331,0,590,1053,463,0,1,331529
331,Primary Metals,331523,48801CNTCH205NG,MI,48801CNTCH205NG,2015,MI,622.7,331,0,0,622.7,622.7,0,0,331523
325,Chemicals,325199,44077LBRZL155FR,OH,44077LBRZL155FR,2015,OH,120,325,0,25,145,120,0,0,325199
325,Chemicals,325199,44077LBRZL155FR,OH,44077LBRZL155FR,2015,OH,158,325,0,179126,179285,159,0,1,325199
325,Chemicals,325212325211325991,45714SHLLC2982W,OH,45714SHLLC2982W,2015,OH,36,325,150,203,689,486,0,300,325212
325,Chemicals,325212325211325991,45714SHLLC2982W,OH,45714SHLLC2982W,2015,OH,4901,325,0,0,4901,4901,0,0,325212
325,Chemicals,325199,44092THLBR29400,OH,44092THLBR29400,2015,OH,19.6,325,0,0,19.6,19.6,0,0,325199
311,Food,311999,55334MGWLDHWY51,MN,55334MGWLDHWY51,2015,MN,0,311,0,0,0,0,0,0,311999
331,Primary Metals,331222,46628HLDXG444NI,IN,46628HLDXG444NI,2015,IN,0,331,0,0,0,0,0,,331222
325,Chemicals,325510,60901THVLS901NO,IL,60901THVLS901NO,2015,IL,3967,325,0,0,3967,3967,0,0,325510
336,Transportation Equipment,336111336370333511336211447190336112,43040HNDFM2400A,OH,43040HNDFM2400A,2015,OH,88,336,0,6,94,88,0,0,336111
336,Transportation Equipment,336370,48091WRRNS22800,MI,48091WRRNS22800,2015,MI,5,336,0,0,5,5,0,0,336370
325,Chemicals,325613,60450KZCHMTABLE,IL,60450KZCHMTABLE,2015,IL,28137,325,0,2,28139.24,28137.24,0,.24,325613
332,Fabricated Metals,332811,49461HWMTC1600S,MI,49461HWMTC1600S,2015,MI,198,332,0,5066,5264,198,0,0,332811
324,Petroleum,324110,43616SNRFN1819W,OH,43616SNRFN1819W,2015,OH,.12,324,0,0,.12,.12,0,0,324110
332,Fabricated Metals,332811331222332812,48071STLPR31624,MI,48071STLPR31624,2015,MI,0,332,0,221.3047,221.3047,0,0,0,332811
325,Chemicals,325211,44839THGLD300SP,OH,44839THGLD300SP,2015,OH,171.17,325,0,0,171.17,171.17,0,0,325211
333,Machinery,333244,60510PMRCG125FL,IL,60510PMRCG125FL,2015,IL,0,333,0,0,0,0,0,0,333244
331,Primary Metals,331492,48084SLZRP1972M,MI,48084SLZRP1972M,2015,MI,500,331,0,0,500,500,0,0,331492
325,Chemicals,325194,60650KPPRS3900S,IL,60650KPPRS3900S,2015,IL,212.3,325,0,0,212.3,212.3,0,0,325194
325,Chemicals,325180,44004LCPCH3509M,OH,44004LCPCH3509M,2015,OH,1463,325,0,0,1463,1463,0,0,325180
336,Transportation Equipment,336213,46550NWMRC355ND,IN,46550NWMRC355ND,2015,IN,23156,336,0,0,23156,23156,0,0,336213
331,Primary Metals,331523,55362TWNCT520CH,MN,55362TWNCT520CH,2015,MN,0,331,0,0,0,0,0,0,331523
